pvog	annotation_processed	annotation_raw
VOG8319	unknown	hypothetical protein
VOG8320	unknown	hypothetical protein
VOG8321	unknown	hypothetical protein
VOG8322	unknown	hypothetical protein
VOG8323	unknown	hypothetical protein
VOG8324	unknown	hypothetical protein
VOG8325	unknown	hypothetical protein
VOG8326	unknown	hypothetical protein
VOG8327	unknown	hypothetical protein
VOG8328	unknown	hypothetical protein
VOG8329	unknown	hypothetical protein
VOG8330	unknown	hypothetical protein
VOG8331	unknown	hypothetical protein
VOG8332	unknown	hypothetical protein
VOG8333	unknown	hypothetical protein
VOG8334	unknown	hypothetical protein
VOG8335	unknown	hypothetical protein
VOG8336	unknown	hypothetical protein
VOG8337	unknown	hypothetical protein
VOG8338	unknown	hypothetical protein
VOG8339	unknown	hypothetical protein
