pvog	annotation_processed	annotation_raw
VOG7730	unknown	hypothetical protein
VOG7731	unknown	hypothetical protein
VOG7732	unknown	hypothetical protein
VOG7733	unknown	hypothetical protein
VOG7734	unknown	unknown
VOG7735	unknown	hypothetical protein
VOG7736	unknown	hypothetical protein
VOG7737	unknown	unknown
VOG7738	unknown	hypothetical protein
VOG7739	unknown	hypothetical protein
VOG7740	unknown	hypothetical protein
VOG7741	unknown	hypothetical protein
VOG7742	unknown	hypothetical protein
VOG7743	unknown	hypothetical protein
VOG7744	unknown	hypothetical protein
VOG7745	unknown	hypothetical protein
VOG7746	unknown	hypothetical protein
VOG7747	unknown	hypothetical protein
VOG7748	unknown	hypothetical protein
VOG7749	unknown	hypothetical protein
VOG7750	unknown	hypothetical protein
VOG7751	unknown	hypothetical protein
VOG7752	unknown	hypothetical protein
VOG7753	unknown	hypothetical protein
VOG7754	unknown	hypothetical protein
VOG7755	unknown	hypothetical protein
VOG7756	unknown	hypothetical protein
VOG7757	unknown	hypothetical protein
VOG7758	unknown	hypothetical protein
VOG7759	unknown	hypothetical protein
VOG7760	unknown	hypothetical protein
VOG7761	unknown	hypothetical protein
VOG7762	unknown	hypothetical protein
VOG7763	unknown	hypothetical protein
VOG7764	unknown	hypothetical protein
VOG7765	unknown	hypothetical protein
VOG7766	unknown	hypothetical protein
VOG7767	RIIA-like	RIIA-like protein
VOG7768	unknown	hypothetical protein
VOG7769	unknown	hypothetical protein
VOG7770	unknown	hypothetical protein
VOG7771	unknown	hypothetical protein
VOG7772	unknown	hypothetical protein
VOG7773	unknown	hypothetical protein
VOG7774	unknown	hypothetical protein
VOG7775	unknown	hypothetical protein
VOG7776	unknown	hypothetical protein
VOG7777	unknown	hypothetical protein
VOG7778	unknown	hypothetical protein
VOG7779	unknown	hypothetical protein
VOG7780	unknown	hypothetical protein
VOG7781	unknown	hypothetical protein
VOG7782	unknown	hypothetical protein
VOG7783	unknown	hypothetical protein
VOG7784	unknown	hypothetical protein
VOG7785	unknown	hypothetical protein
VOG7786	unknown	hypothetical protein
VOG7787	unknown	hypothetical protein
VOG7788	unknown	hypothetical protein
VOG7789	tail fiber	putative tail fiber
VOG7790	unknown	hypothetical protein
VOG7791	unknown	hypothetical protein
VOG7792	unknown	hypothetical protein
VOG7793	unknown	hypothetical protein
VOG7794	unknown	hypothetical protein
VOG7795	unknown	hypothetical protein
VOG7796	unknown	hypothetical protein
VOG7797	unknown	hypothetical protein
VOG7798	unknown	hypothetical protein
VOG7799	unknown	hypothetical protein
VOG7800	unknown	hypothetical protein
VOG7801	unknown	hypothetical protein
VOG7802	unknown	hypothetical protein
VOG7803	unknown	hypothetical protein
VOG7804	unknown	hypothetical protein
VOG7805	unknown	hypothetical protein
VOG7806	unknown	hypothetical protein
VOG7807	unknown	hypothetical protein
VOG7808	Phage XkdN-like	Phage XkdN-like protein
VOG7809	unknown	hypothetical protein
VOG7810	unknown	hypothetical protein
VOG7811	unknown	hypothetical protein
VOG7812	unknown	hypothetical protein
VOG7813	unknown	hypothetical protein
VOG7814	unknown	hypothetical protein
VOG7815	unknown	unknown
VOG7816	unknown	hypothetical protein
VOG7817	unknown	hypothetical protein
VOG7818	unknown	hypothetical protein
VOG7819	unknown	hypothetical protein
VOG7820	unknown	hypothetical protein
VOG7821	unknown	hypothetical protein
VOG7822	unknown	hypothetical protein
VOG7823	tail sheath	tail sheath
VOG7824	unknown	hypothetical protein
VOG7825	unknown	hypothetical protein
VOG7826	unknown	hypothetical protein
VOG7827	unknown	hypothetical protein
VOG7828	unknown	hypothetical protein
VOG7829	unknown	hypothetical protein
VOG7830	unknown	hypothetical protein
VOG7831	unknown	hypothetical protein
VOG7832	unknown	hypothetical protein
VOG7833	unknown	hypothetical protein
VOG7834	unknown	hypothetical protein
VOG7835	unknown	hypothetical protein
VOG7836	unknown	hypothetical protein
VOG7837	unknown	hypothetical protein
VOG7838	unknown	hypothetical protein
VOG7839	unknown	hypothetical protein
VOG7840	unknown	hypothetical protein
VOG7841	unknown	hypothetical protein
VOG7842	unknown	hypothetical protein
VOG7843	unknown	hypothetical protein
VOG7844	unknown	hypothetical protein
VOG7845	unknown	hypothetical protein
VOG7846	unknown	hypothetical protein
VOG7847	unknown	hypothetical protein
VOG7848	unknown	hypothetical protein
